saturation,frequency
0.0,78809
4.8,1865
4.0,1792
6.4,1836
7.2,74351
8.8,1871
8.0,1789
10.4,1857
11.2,3464
12.0,7207
13.6,3570
14.4,45613
15.2,3712
16.8,3732
17.6,3689
18.0,21265
19.2,7799
20.8,2989
21.6,30546
18.4,4758
23.2,3224
24.0,14323
25.2,28903
26.4,5606
24.8,3266
28.8,27707
29.2,1055
30.0,12879
31.2,11936
32.4,19940
33.6,4153
34.4,2140
34.8,1398
36.0,32014
37.2,12246
38.4,7620
39.6,13108
40.8,3741
41.2,1704
38.8,1438
43.2,24786
44.8,2047
45.6,5475
46.4,2050
47.2,2428
48.8,2013
49.2,8577
50.4,16219
51.6,5636
52.8,4998
53.6,1903
54.0,12758
55.2,6907
54.8,1393
57.6,10648
58.8,5146
50.0,1467
60.0,7263
61.2,10763
62.4,4934
63.6,3967
64.8,8088
64.0,1338
65.2,1353
67.2,6236
68.4,7191
69.6,3210
70.8,3555
66.0,6144
72.8,996
72.0,7492
73.6,1083
75.6,4622
76.8,2661
77.2,952
78.0,4053
70.4,1020
80.8,857
81.6,2807
82.0,751
82.4,690
84.0,2765
84.4,725
86.0,639
86.8,648
87.6,2230
88.8,2142
90.4,636
91.2,2329
85.2,3307
93.6,2333
94.8,1645
86.4,3588
96.0,2081
97.2,2251
92.4,2152
90.0,3014
100.8,1663
20.0,2952
102.0,1553
101.2,377
103.2,1511
104.4,1462
106.8,991
107.6,242
99.6,1480
102.4,371
102.8,361
22.0,427
110.4,997
113.6,186
109.6,255
115.2,957
116.0,156
116.4,695
115.6,170
119.6,159
120.0,569
121.2,621
122.8,131
123.2,115
122.4,559
123.6,418
126.0,475
127.6,90
128.0,83
124.8,472
129.2,87
26.0,455
130.8,297
133.2,315
134.4,256
133.6,72
136.0,73
135.6,241
138.8,49
132.0,314
140.4,184
141.6,160
28.0,2466
138.0,238
144.0,175
145.2,170
138.4,63
147.6,110
148.8,94
142.8,164
150.0,107
151.2,104
152.4,96
146.8,32
151.6,25
154.4,22
156.0,65
149.6,26
153.6,73
156.8,19
160.8,55
157.6,17
32.0,2487
162.4,10
164.4,42
164.0,15
166.8,32
163.2,54
168.0,36
168.8,9
170.4,22
169.2,34
34.0,1384
172.0,11
174.4,6
172.8,24
176.4,23
177.6,15
174.0,21
173.2,2
180.0,19
178.8,18
182.8,3
181.2,16
184.8,9
185.2,4
186.0,14
187.2,8
182.4,13
188.8,3
190.8,9
188.4,13
38.0,1371
190.4,2
194.4,6
194.8,3
196.4,2
193.2,7
190.0,1
199.2,5
195.6,6
201.6,6
40.0,2808
202.4,2
204.4,1
202.8,3
199.6,2
206.4,1
203.6,1
204.0,5
210.0,2
210.4,1
42.0,8324
210.8,1
208.8,1
211.2,1
212.4,1
220.8,1
44.0,2090
222.0,2
226.8,1
226.0,1
46.0,1587
241.2,1
48.0,6780
246.0,1
52.0,1898
56.0,1476
58.0,1480
62.0,1188
64.4,1133
65.6,1209
66.4,1340
67.6,1166
68.0,1173
70.0,1142
71.6,1030
72.4,1215
74.4,4305
74.0,878
76.0,1116
76.4,855
77.6,852
78.4,920
79.6,885
80.4,3277
80.0,845
16.0,3735
5.6,1797
83.6,700
85.6,700
9.6,1876
88.4,540
88.0,587
89.6,543
91.6,576
92.0,486
94.0,504
94.4,436
95.6,463
96.4,460
97.6,462
98.0,423
98.4,1490
100.0,398
100.4,345
101.6,285
103.6,366
104.0,274
105.6,987
106.0,322
106.4,246
108.0,1365
108.4,274
110.0,229
111.6,891
112.4,231
112.0,219
114.0,902
114.4,204
117.6,621
118.4,150
118.0,161
120.4,137
121.6,158
122.0,116
124.4,109
124.0,113
23.6,419
125.6,100
126.4,119
25.6,3846
128.4,376
128.8,90
27.6,431
129.6,347
130.4,82
130.0,98
29.6,2524
131.2,102
131.6,79
132.8,66
132.4,72
31.6,1062
134.0,73
134.8,63
135.2,47
136.8,230
136.4,45
35.6,1395
137.6,39
137.2,51
37.6,2279
139.2,205
139.6,49
140.0,38
140.8,50
141.2,42
142.0,40
142.4,37
41.6,2196
143.2,40
143.6,43
144.4,36
144.8,30
43.6,1865
145.6,24
146.0,36
146.4,135
147.2,36
148.0,25
148.4,27
47.6,1567
149.2,35
150.4,31
150.8,28
49.6,1974
152.0,24
152.8,11
153.2,20
154.8,64
154.0,18
155.2,23
155.6,16
156.4,20
55.6,1542
157.2,77
158.0,17
158.4,67
158.8,8
159.6,43
159.2,6
160.0,8
160.4,9
59.6,1309
161.2,12
161.6,9
162.8,12
162.0,46
61.6,1638
163.6,7
164.8,6
165.6,27
165.2,9
166.4,10
166.0,6
167.2,10
167.6,4
168.4,5
169.6,7
170.8,6
170.0,5
171.6,22
171.2,3
172.4,4
173.6,4
174.8,6
175.2,26
175.6,5
176.0,3
176.8,3
177.2,3
178.0,7
178.4,1
179.2,4
179.6,1
27.2,2325
180.4,1
180.8,1
181.6,4
182.0,1
183.6,7
183.2,4
184.4,2
184.0,3
185.6,1
186.4,1
187.6,1
188.0,3
189.6,3
189.2,2
191.2,2
192.8,1
192.0,4
192.4,1
194.0,3
195.2,1
196.8,6
197.6,2
197.2,2
198.0,3
200.4,2
200.8,1
206.0,1
32.8,3042
33.2,1135
35.2,2260
36.8,2322
39.2,2153
42.8,1711
45.2,1367
46.8,11222
50.8,1597
51.2,1776
53.2,1427
56.8,1614
57.2,1275
59.2,1540
60.8,1494
62.8,1250
63.2,1248
12.8,3611
66.8,1115
68.8,1307
69.2,950
71.2,1060
22.8,478
73.2,5013
74.8,944
75.2,960
26.8,479
78.8,850
79.2,5686
30.8,1041
81.2,702
82.8,3434
83.2,796
84.8,648
87.2,587
89.2,603
90.8,563
92.8,556
93.2,461
95.2,499
96.8,427
98.8,403
99.2,302
104.8,308
105.2,296
107.2,272
108.8,249
109.2,1067
110.8,220
111.2,226
112.8,663
113.2,219
114.8,204
116.8,170
117.2,144
118.8,605
119.2,158
120.8,148
22.4,3017
125.2,125
24.4,433
126.8,86
127.2,378
28.4,480
30.4,2548
36.4,1872
40.4,1429
42.4,2322
44.4,7844
48.4,1688
52.4,1306
54.4,2167
56.4,5795
58.4,1505
60.4,1297
